player,round,hole,strokes,par,score,time
"Clarke, Benjamin",1,1,5,4,1,12:30:00 PM
"Clarke, Benjamin",1,2,3,4,-1,12:45:00 PM
"Clarke, Benjamin",1,3,3,4,-1,1:00:00 PM
"Clarke, Benjamin",1,4,5,5,0,1:15:00 PM
"Clarke, Benjamin",1,5,3,3,0,9:00:00 AM
"Clarke, Benjamin",1,6,5,5,0,9:15:00 AM
"Clarke, Benjamin",1,7,4,4,0,9:30:00 AM
"Clarke, Benjamin",1,8,3,3,0,9:45:00 AM
"Clarke, Benjamin",1,9,4,4,0,10:00:00 AM
"Clarke, Benjamin",1,10,4,4,0,10:15:00 AM
"Clarke, Benjamin",1,11,4,5,-1,10:30:00 AM
"Clarke, Benjamin",1,12,2,3,-1,10:45:00 AM
"Clarke, Benjamin",1,13,4,4,0,11:00:00 AM
"Clarke, Benjamin",1,14,5,5,0,11:15:00 AM
"Clarke, Benjamin",1,15,4,4,0,11:30:00 AM
"Clarke, Benjamin",1,16,4,4,0,11:45:00 AM
"Clarke, Benjamin",1,17,4,4,0,12:00:00 PM
"Clarke, Benjamin",1,18,3,3,0,12:15:00 PM
"Garcia, Nicolas",1,1,4,4,0,11:00:00 AM
"Garcia, Nicolas",1,2,4,4,0,11:15:00 AM
"Garcia, Nicolas",1,3,3,4,-1,11:30:00 AM
"Garcia, Nicolas",1,4,5,5,0,11:45:00 AM
"Garcia, Nicolas",1,5,3,3,0,12:00:00 PM
"Garcia, Nicolas",1,6,4,5,-1,12:15:00 PM
"Garcia, Nicolas",1,7,4,4,0,12:30:00 PM
"Garcia, Nicolas",1,8,3,3,0,12:45:00 PM
"Garcia, Nicolas",1,9,5,4,1,1:00:00 PM
"Garcia, Nicolas",1,10,4,4,0,1:15:00 PM
"Garcia, Nicolas",1,11,4,5,-1,9:00:00 AM
"Garcia, Nicolas",1,12,3,3,0,9:15:00 AM
"Garcia, Nicolas",1,13,4,4,0,9:30:00 AM
"Garcia, Nicolas",1,14,4,5,-1,9:45:00 AM
"Garcia, Nicolas",1,15,4,4,0,10:00:00 AM
"Garcia, Nicolas",1,16,4,4,0,10:15:00 AM
"Garcia, Nicolas",1,17,3,4,-1,10:30:00 AM
"Garcia, Nicolas",1,18,3,3,0,10:45:00 AM
"Nash, Julian",1,1,5,4,1,11:55:00 AM
"Nash, Julian",1,2,4,4,0,12:10:00 PM
"Nash, Julian",1,3,4,4,0,12:25:00 PM
"Nash, Julian",1,4,8,5,3,12:40:00 PM
"Nash, Julian",1,5,2,3,-1,12:55:00 PM
"Nash, Julian",1,6,4,5,-1,1:10:00 PM
"Nash, Julian",1,7,4,4,0,1:25:00 PM
"Nash, Julian",1,8,4,3,1,9:10:00 AM
"Nash, Julian",1,9,4,4,0,9:25:00 AM
"Nash, Julian",1,10,5,4,1,9:40:00 AM
"Nash, Julian",1,11,4,5,-1,9:55:00 AM
"Nash, Julian",1,12,3,3,0,10:10:00 AM
"Nash, Julian",1,13,3,4,-1,10:25:00 AM
"Nash, Julian",1,14,5,5,0,10:40:00 AM
"Nash, Julian",1,15,5,4,1,10:55:00 AM
"Nash, Julian",1,16,6,4,2,11:10:00 AM
"Nash, Julian",1,17,3,4,-1,11:25:00 AM
"Nash, Julian",1,18,3,3,0,11:40:00 AM
"Antonio, Balestra",1,1,4,4,0,11:10:00 AM
"Antonio, Balestra",1,2,4,4,0,11:25:00 AM
"Antonio, Balestra",1,3,4,4,0,11:40:00 AM
"Antonio, Balestra",1,4,5,5,0,11:55:00 AM
