player,round,hole,strokes,par,score
"Khatib, Ramzey",1,1,4,5,-1
"Khatib, Ramzey",1,2,4,4,0
"Khatib, Ramzey",1,3,3,3,0
"Khatib, Ramzey",1,4,4,4,0
"Khatib, Ramzey",1,5,4,4,0
"Khatib, Ramzey",1,6,4,4,0
"Khatib, Ramzey",1,7,5,5,0
"Khatib, Ramzey",1,8,3,3,0
"Khatib, Ramzey",1,9,3,4,-1
"Khatib, Ramzey",1,10,4,4,0
"Khatib, Ramzey",1,11,5,5,0
"Khatib, Ramzey",1,12,3,3,0
"Khatib, Ramzey",1,13,4,4,0
"Khatib, Ramzey",1,14,5,5,0
"Khatib, Ramzey",1,15,3,4,-1
"Khatib, Ramzey",1,16,2,3,-1
"Khatib, Ramzey",1,17,3,4,-1
"Khatib, Ramzey",1,18,5,4,1
"Perrone, Matias",1,1,5,5,0
"Perrone, Matias",1,2,4,4,0
"Perrone, Matias",1,3,2,3,-1
"Perrone, Matias",1,4,4,4,0
"Perrone, Matias",1,5,4,4,0
"Perrone, Matias",1,6,3,4,-1
"Perrone, Matias",1,7,4,5,-1
"Perrone, Matias",1,8,3,3,0
"Perrone, Matias",1,9,5,4,1
"Perrone, Matias",1,10,3,4,-1
"Perrone, Matias",1,11,4,5,-1
"Perrone, Matias",1,12,3,3,0
"Perrone, Matias",1,13,4,4,0
"Perrone, Matias",1,14,5,5,0
"Perrone, Matias",1,15,4,4,0
"Perrone, Matias",1,16,3,3,0
"Perrone, Matias",1,17,4,4,0
"Perrone, Matias",1,18,4,4,0
"Vazquez, Jorge",1,1,5,5,0
"Vazquez, Jorge",1,2,3,4,-1
"Vazquez, Jorge",1,3,3,3,0
"Vazquez, Jorge",1,4,5,4,1
"Vazquez, Jorge",1,5,4,4,0
"Vazquez, Jorge",1,6,4,4,0
"Vazquez, Jorge",1,7,5,5,0
"Vazquez, Jorge",1,8,3,3,0
"Vazquez, Jorge",1,9,3,4,-1
"Vazquez, Jorge",1,10,3,4,-1
"Vazquez, Jorge",1,11,6,5,1
"Vazquez, Jorge",1,12,2,3,-1
"Vazquez, Jorge",1,13,6,4,2
"Vazquez, Jorge",1,14,5,5,0
"Vazquez, Jorge",1,15,3,4,-1
"Vazquez, Jorge",1,16,2,3,-1
"Vazquez, Jorge",1,17,3,4,-1
"Vazquez, Jorge",1,18,5,4,1
"Olmedo, Sebastian Andres",1,1,5,5,0
"Olmedo, Sebastian Andres",1,2,4,4,0
"Olmedo, Sebastian Andres",1,3,3,3,0
"Olmedo, Sebastian Andres",1,4,4,4,0
"Olmedo, Sebastian Andres",1,5,4,4,0
"Olmedo, Sebastian Andres",1,6,3,4,-1
"Olmedo, Sebastian Andres",1,7,5,5,0
"Olmedo, Sebastian Andres",1,8,3,3,0
"Olmedo, Sebastian Andres",1,9,4,4,0
"Olmedo, Sebastian Andres",1,10,2,4,-2
"Olmedo, Sebastian Andres",1,11,6,5,1
"Olmedo, Sebastian Andres",1,12,3,3,0
"Olmedo, Sebastian Andres",1,13,4,4,0
"Olmedo, Sebastian Andres",1,14,4,5,-1
"Olmedo, Sebastian Andres",1,15,3,4,-1
"Olmedo, Sebastian Andres",1,16,3,3,0
"Olmedo, Sebastian Andres",1,17,5,4,1
"Olmedo, Sebastian Andres",1,18,5,4,1
"Calderon, Mario",1,1,5,5,0
"Calderon, Mario",1,2,4,4,0
"Calderon, Mario",1,3,2,3,-1
"Calderon, Mario",1,4,5,4,1
"Calderon, Mario",1,5,4,4,0
"Calderon, Mario",1,6,5,4,1
"Calderon, Mario",1,7,4,5,-1
"Calderon, Mario",1,8,3,3,0
"Calderon, Mario",1,9,4,4,0
"Calderon, Mario",1,10,3,4,-1
"Calderon, Mario",1,11,7,5,2
"Calderon, Mario",1,12,2,3,-1
"Calderon, Mario",1,13,3,4,-1
"Calderon, Mario",1,14,7,5,2
"Calderon, Mario",1,15,3,4,-1
"Calderon, Mario",1,16,2,3,-1
"Calderon, Mario",1,17,3,4,-1
"Calderon, Mario",1,18,5,4,1
"Menor, Piero",1,1,5,5,0
"Menor, Piero",1,2,4,4,0
"Menor, Piero",1,3,2,3,-1
"Menor, Piero",1,4,5,4,1
"Menor, Piero",1,5,4,4,0
"Menor, Piero",1,6,4,4,0
"Menor, Piero",1,7,5,5,0
"Menor, Piero",1,8,3,3,0
"Menor, Piero",1,9,4,4,0
"Menor, Piero",1,10,3,4,-1
"Menor, Piero",1,11,5,5,0
"Menor, Piero",1,12,3,3,0
"Menor, Piero",1,13,4,4,0
"Menor, Piero",1,14,5,5,0
"Menor, Piero",1,15,3,4,-1
"Menor, Piero",1,16,3,3,0
"Menor, Piero",1,17,4,4,0
"Menor, Piero",1,18,5,4,1
"Ayala, Roberto Fabian",1,1,5,5,0
"Ayala, Roberto Fabian",1,2,4,4,0
"Ayala, Roberto Fabian",1,3,2,3,-1
"Ayala, Roberto Fabian",1,4,5,4,1
"Ayala, Roberto Fabian",1,5,4,4,0
"Ayala, Roberto Fabian",1,6,5,4,1
"Ayala, Roberto Fabian",1,7,4,5,-1
"Ayala, Roberto Fabian",1,8,3,3,0
"Ayala, Roberto Fabian",1,9,3,4,-1
"Ayala, Roberto Fabian",1,10,4,4,0
"Ayala, Roberto Fabian",1,11,5,5,0
"Ayala, Roberto Fabian",1,12,2,3,-1
"Ayala, Roberto Fabian",1,13,4,4,0
"Ayala, Roberto Fabian",1,14,5,5,0
"Ayala, Roberto Fabian",1,15,3,4,-1
"Ayala, Roberto Fabian",1,16,3,3,0
"Ayala, Roberto Fabian",1,17,4,4,0
"Ayala, Roberto Fabian",1,18,6,4,2
"Khatib, Sharif",1,1,5,5,0
"Khatib, Sharif",1,2,4,4,0
"Khatib, Sharif",1,3,2,3,-1
"Khatib, Sharif",1,4,5,4,1
"Khatib, Sharif",1,5,4,4,0
"Khatib, Sharif",1,6,4,4,0
"Khatib, Sharif",1,7,5,5,0
"Khatib, Sharif",1,8,3,3,0
"Khatib, Sharif",1,9,5,4,1
"Khatib, Sharif",1,10,4,4,0
"Khatib, Sharif",1,11,5,5,0
"Khatib, Sharif",1,12,2,3,-1
"Khatib, Sharif",1,13,4,4,0
"Khatib, Sharif",1,14,5,5,0
"Khatib, Sharif",1,15,4,4,0
"Khatib, Sharif",1,16,3,3,0
"Khatib, Sharif",1,17,4,4,0
"Khatib, Sharif",1,18,4,4,0
"Godfrey, Jordan",1,1,5,5,0
"Godfrey, Jordan",1,2,4,4,0
"Godfrey, Jordan",1,3,4,3,1
"Godfrey, Jordan",1,4,4,4,0
"Godfrey, Jordan",1,5,4,4,0
"Godfrey, Jordan",1,6,4,4,0
"Godfrey, Jordan",1,7,5,5,0
"Godfrey, Jordan",1,8,3,3,0
"Godfrey, Jordan",1,9,4,4,0
"Godfrey, Jordan",1,10,3,4,-1
"Godfrey, Jordan",1,11,5,5,0
"Godfrey, Jordan",1,12,2,3,-1
"Godfrey, Jordan",1,13,4,4,0
"Godfrey, Jordan",1,14,6,5,1
"Godfrey, Jordan",1,15,3,4,-1
"Godfrey, Jordan",1,16,3,3,0
"Godfrey, Jordan",1,17,4,4,0
"Godfrey, Jordan",1,18,5,4,1
"Richardson, Nick",1,1,5,5,0
"Richardson, Nick",1,2,5,4,1
"Richardson, Nick",1,3,4,3,1
"Richardson, Nick",1,4,5,4,1
"Richardson, Nick",1,5,4,4,0
"Richardson, Nick",1,6,3,4,-1
"Richardson, Nick",1,7,4,5,-1
"Richardson, Nick",1,8,4,3,1
"Richardson, Nick",1,9,4,4,0
"Richardson, Nick",1,10,4,4,0
"Richardson, Nick",1,11,5,5,0
"Richardson, Nick",1,12,3,3,0
