player,round,hole,strokes,par,score
"Crane, Steve",1,1,5,5,0
"Crane, Steve",1,2,4,4,0
"Crane, Steve",1,3,3,3,0
"Crane, Steve",1,4,4,4,0
"Crane, Steve",1,5,4,4,0
"Crane, Steve",1,6,4,4,0
"Crane, Steve",1,7,5,5,0
"Crane, Steve",1,8,3,3,0
"Crane, Steve",1,9,4,4,0
"Crane, Steve",1,10,3,4,-1
"Crane, Steve",1,11,5,5,0
"Crane, Steve",1,12,2,3,-1
"Crane, Steve",1,13,3,4,-1
"Crane, Steve",1,14,5,5,0
"Crane, Steve",1,15,4,4,0
"Crane, Steve",1,16,3,3,0
"Crane, Steve",1,17,3,4,-1
"Crane, Steve",1,18,4,4,0
"Donatti, Pablo",1,1,6,5,1
"Donatti, Pablo",1,2,5,4,1
"Donatti, Pablo",1,3,3,3,0
"Donatti, Pablo",1,4,4,4,0
"Donatti, Pablo",1,5,4,4,0
"Donatti, Pablo",1,6,3,4,-1
"Donatti, Pablo",1,7,5,5,0
"Donatti, Pablo",1,8,3,3,0
"Donatti, Pablo",1,9,4,4,0
"Donatti, Pablo",1,10,4,4,0
"Donatti, Pablo",1,11,4,5,-1
"Donatti, Pablo",1,12,3,3,0
"Donatti, Pablo",1,13,3,4,-1
"Donatti, Pablo",1,14,4,5,-1
"Donatti, Pablo",1,15,4,4,0
"Donatti, Pablo",1,16,3,3,0
"Donatti, Pablo",1,17,3,4,-1
"Donatti, Pablo",1,18,4,4,0
"Gora, Michael",1,1,6,5,1
"Gora, Michael",1,2,4,4,0
"Gora, Michael",1,3,4,3,1
"Gora, Michael",1,4,5,4,1
"Gora, Michael",1,5,5,4,1
"Gora, Michael",1,6,3,4,-1
"Gora, Michael",1,7,6,5,1
"Gora, Michael",1,8,2,3,-1
"Gora, Michael",1,9,3,4,-1
"Gora, Michael",1,10,4,4,0
"Gora, Michael",1,11,6,5,1
"Gora, Michael",1,12,3,3,0
"Gora, Michael",1,13,4,4,0
"Gora, Michael",1,14,4,5,-1
"Gora, Michael",1,15,3,4,-1
"Gora, Michael",1,16,2,3,-1
"Gora, Michael",1,17,4,4,0
"Gora, Michael",1,18,3,4,-1
"Karuzas, Darrin",1,1,5,5,0
"Karuzas, Darrin",1,2,4,4,0
"Karuzas, Darrin",1,3,3,3,0
"Karuzas, Darrin",1,4,5,4,1
"Karuzas, Darrin",1,5,4,4,0
"Karuzas, Darrin",1,6,3,4,-1
"Karuzas, Darrin",1,7,5,5,0
"Karuzas, Darrin",1,8,3,3,0
"Karuzas, Darrin",1,9,4,4,0
"Karuzas, Darrin",1,10,4,4,0
"Karuzas, Darrin",1,11,6,5,1
"Karuzas, Darrin",1,12,3,3,0
"Karuzas, Darrin",1,13,3,4,-1
"Karuzas, Darrin",1,14,5,5,0
"Karuzas, Darrin",1,15,4,4,0
"Karuzas, Darrin",1,16,3,3,0
"Karuzas, Darrin",1,17,4,4,0
"Karuzas, Darrin",1,18,4,4,0
"Souza, Darrell",1,1,6,5,1
"Souza, Darrell",1,2,4,4,0
"Souza, Darrell",1,3,2,3,-1
"Souza, Darrell",1,4,5,4,1
"Souza, Darrell",1,5,6,4,2
"Souza, Darrell",1,6,4,4,0
"Souza, Darrell",1,7,5,5,0
"Souza, Darrell",1,8,3,3,0
"Souza, Darrell",1,9,3,4,-1
"Souza, Darrell",1,10,3,4,-1
"Souza, Darrell",1,11,5,5,0
"Souza, Darrell",1,12,3,3,0
"Souza, Darrell",1,13,4,4,0
"Souza, Darrell",1,14,5,5,0
"Souza, Darrell",1,15,4,4,0
"Souza, Darrell",1,16,4,3,1
"Souza, Darrell",1,17,3,4,-1
"Souza, Darrell",1,18,4,4,0
"Diaz, Fernando",1,1,6,5,1
"Diaz, Fernando",1,2,4,4,0
"Diaz, Fernando",1,3,3,3,0
"Diaz, Fernando",1,4,5,4,1
"Diaz, Fernando",1,5,4,4,0
"Diaz, Fernando",1,6,4,4,0
"Diaz, Fernando",1,7,5,5,0
"Diaz, Fernando",1,8,4,3,1
"Diaz, Fernando",1,9,3,4,-1
"Diaz, Fernando",1,10,3,4,-1
"Diaz, Fernando",1,11,5,5,0
"Diaz, Fernando",1,12,3,3,0
"Diaz, Fernando",1,13,3,4,-1
"Diaz, Fernando",1,14,5,5,0
"Diaz, Fernando",1,15,4,4,0
"Diaz, Fernando",1,16,4,3,1
"Diaz, Fernando",1,17,4,4,0
"Diaz, Fernando",1,18,4,4,0
"Krokos, Kostas",1,1,6,5,1
"Krokos, Kostas",1,2,5,4,1
"Krokos, Kostas",1,3,3,3,0
"Krokos, Kostas",1,4,5,4,1
"Krokos, Kostas",1,5,3,4,-1
"Krokos, Kostas",1,6,3,4,-1
"Krokos, Kostas",1,7,5,5,0
