player,round,hole,strokes,par,score
"Hewins, Jessica",1,1,5,5,0
"Hewins, Jessica",1,2,4,4,0
"Hewins, Jessica",1,3,3,3,0
"Hewins, Jessica",1,4,3,4,-1
"Hewins, Jessica",1,5,4,4,0
"Hewins, Jessica",1,6,3,4,-1
"Hewins, Jessica",1,7,4,5,-1
"Hewins, Jessica",1,8,3,3,0
"Hewins, Jessica",1,9,4,4,0
"Hewins, Jessica",1,10,3,4,-1
"Hewins, Jessica",1,11,5,5,0
"Hewins, Jessica",1,12,2,3,-1
"Hewins, Jessica",1,13,4,4,0
"Hewins, Jessica",1,14,5,5,0
"Hewins, Jessica",1,15,4,4,0
"Hewins, Jessica",1,16,3,3,0
"Hewins, Jessica",1,17,4,4,0
"Hewins, Jessica",1,18,3,4,-1
"Reid, Jo",1,1,5,5,0
"Reid, Jo",1,2,4,4,0
"Reid, Jo",1,3,3,3,0
"Reid, Jo",1,4,4,4,0
"Reid, Jo",1,5,3,4,-1
"Reid, Jo",1,6,3,4,-1
"Reid, Jo",1,7,4,5,-1
"Reid, Jo",1,8,3,3,0
"Reid, Jo",1,9,4,4,0
"Reid, Jo",1,10,4,4,0
"Reid, Jo",1,11,5,5,0
"Reid, Jo",1,12,3,3,0
"Reid, Jo",1,13,3,4,-1
"Reid, Jo",1,14,5,5,0
"Reid, Jo",1,15,4,4,0
"Reid, Jo",1,16,3,3,0
"Reid, Jo",1,17,4,4,0
"Reid, Jo",1,18,4,4,0
"Tedeski, Leilani",1,1,6,5,1
"Tedeski, Leilani",1,2,4,4,0
"Tedeski, Leilani",1,3,3,3,0
"Tedeski, Leilani",1,4,4,4,0
"Tedeski, Leilani",1,5,4,4,0
"Tedeski, Leilani",1,6,3,4,-1
"Tedeski, Leilani",1,7,5,5,0
"Tedeski, Leilani",1,8,3,3,0
"Tedeski, Leilani",1,9,5,4,1
"Tedeski, Leilani",1,10,6,4,2
"Tedeski, Leilani",1,11,3,5,-2
"Tedeski, Leilani",1,12,2,3,-1
"Tedeski, Leilani",1,13,4,4,0
"Tedeski, Leilani",1,14,5,5,0
"Tedeski, Leilani",1,15,3,4,-1
"Tedeski, Leilani",1,16,3,3,0
"Tedeski, Leilani",1,17,4,4,0
"Tedeski, Leilani",1,18,4,4,0
"Parker, Laura",1,1,6,5,1
"Parker, Laura",1,2,5,4,1
"Parker, Laura",1,3,4,3,1
"Parker, Laura",1,4,4,4,0
"Parker, Laura",1,5,4,4,0
"Parker, Laura",1,6,4,4,0
"Parker, Laura",1,7,5,5,0
"Parker, Laura",1,8,2,3,-1
"Parker, Laura",1,9,5,4,1
"Parker, Laura",1,10,3,4,-1
"Parker, Laura",1,11,6,5,1
"Parker, Laura",1,12,3,3,0
"Parker, Laura",1,13,4,4,0
"Parker, Laura",1,14,6,5,1
"Parker, Laura",1,15,4,4,0
"Parker, Laura",1,16,4,3,1
"Parker, Laura",1,17,4,4,0
"Parker, Laura",1,18,4,4,0
"Daniel, Joanne",1,1,5,5,0
"Daniel, Joanne",1,2,4,4,0
"Daniel, Joanne",1,3,3,3,0
"Daniel, Joanne",1,4,5,4,1
"Daniel, Joanne",1,5,5,4,1
"Daniel, Joanne",1,6,3,4,-1
"Daniel, Joanne",1,7,7,5,2
"Daniel, Joanne",1,8,3,3,0
"Daniel, Joanne",1,9,4,4,0
"Daniel, Joanne",1,10,4,4,0
"Daniel, Joanne",1,11,7,5,2
"Daniel, Joanne",1,12,1,3,-2
"Daniel, Joanne",1,13,5,4,1
"Daniel, Joanne",1,14,6,5,1
"Daniel, Joanne",1,15,4,4,0
"Daniel, Joanne",1,16,4,3,1
"Daniel, Joanne",1,17,5,4,1
"Daniel, Joanne",1,18,3,4,-1
"Brayton, Jenny",1,1,6,5,1
"Brayton, Jenny",1,2,5,4,1
"Brayton, Jenny",1,3,3,3,0
"Brayton, Jenny",1,4,5,4,1
"Brayton, Jenny",1,5,4,4,0
"Brayton, Jenny",1,6,4,4,0
"Brayton, Jenny",1,7,5,5,0
"Brayton, Jenny",1,8,3,3,0
"Brayton, Jenny",1,9,4,4,0
"Brayton, Jenny",1,10,3,4,-1
