player,round,hole,strokes,par,yds,score,tourney
"Clarke, Benjamin",1,1,5,4,235,1,us open
"Clarke, Benjamin",1,2,3,4,215,-1,us open
"Clarke, Benjamin",1,3,3,4,289,-1,us open
"Clarke, Benjamin",1,4,5,5,301,0,us open
"Clarke, Benjamin",1,5,3,3,100,0,us open
"Clarke, Benjamin",1,6,5,5,246,0,us open
"Clarke, Benjamin",1,7,4,4,200,0,us open
"Clarke, Benjamin",1,8,3,3,135,0,us open
"Clarke, Benjamin",1,9,4,4,267,0,us open
"Clarke, Benjamin",1,10,4,4,225,0,us open
"Clarke, Benjamin",1,11,4,5,259,-1,us open
"Clarke, Benjamin",1,12,2,3,96,-1,us open
"Clarke, Benjamin",1,13,4,4,162,0,us open
"Clarke, Benjamin",1,14,5,5,250,0,us open
"Clarke, Benjamin",1,15,4,4,230,0,us open
"Clarke, Benjamin",1,16,4,4,144,0,us open
"Clarke, Benjamin",1,17,4,4,235,0,us open
"Clarke, Benjamin",1,18,3,3,95,0,us open
"Garcia, Nicolas",1,1,4,4,235,0,us open
"Garcia, Nicolas",1,2,4,4,215,0,us open
"Garcia, Nicolas",1,3,3,4,289,-1,us open
"Garcia, Nicolas",1,4,5,5,301,0,us open
"Garcia, Nicolas",1,5,3,3,100,0,us open
"Garcia, Nicolas",1,6,4,5,246,-1,us open
"Garcia, Nicolas",1,7,4,4,200,0,us open
"Garcia, Nicolas",1,8,3,3,135,0,us open
"Garcia, Nicolas",1,9,5,4,267,1,us open
"Garcia, Nicolas",1,10,4,4,225,0,us open
"Garcia, Nicolas",1,11,4,5,259,-1,us open
"Garcia, Nicolas",1,12,3,3,96,0,us open
"Garcia, Nicolas",1,13,4,4,162,0,us open
"Garcia, Nicolas",1,14,4,5,250,-1,us open
"Garcia, Nicolas",1,15,4,4,230,0,us open
"Garcia, Nicolas",1,16,4,4,144,0,us open
"Garcia, Nicolas",1,17,3,4,235,-1,us open
"Garcia, Nicolas",1,18,3,3,95,0,us open
"Nash, Julian",1,1,5,4,235,1,us open
"Nash, Julian",1,2,4,4,215,0,us open
"Nash, Julian",1,3,4,4,289,0,us open
"Nash, Julian",1,4,8,5,301,3,us open
"Nash, Julian",1,5,2,3,100,-1,us open
"Nash, Julian",1,6,4,5,246,-1,us open
"Nash, Julian",1,7,4,4,200,0,us open
"Nash, Julian",1,8,4,3,135,1,us open
