player,round,hole,strokes,par,score
"Chavez, Cesar",1,1,5,5,0
"Chavez, Cesar",1,2,5,4,1
"Chavez, Cesar",1,3,2,3,-1
"Chavez, Cesar",1,4,5,4,1
"Chavez, Cesar",1,5,4,4,0
"Chavez, Cesar",1,6,3,4,-1
"Chavez, Cesar",1,7,3,3,0
"Chavez, Cesar",1,8,4,4,0
"Chavez, Cesar",1,9,4,5,-1
"Chavez, Cesar",1,10,3,4,-1
"Chavez, Cesar",1,11,4,4,0
"Chavez, Cesar",1,12,3,3,0
"Chavez, Cesar",1,13,2,4,-2
"Chavez, Cesar",1,14,5,5,0
"Chavez, Cesar",1,15,4,4,0
"Chavez, Cesar",1,16,4,4,0
"Chavez, Cesar",1,17,4,5,-1
"Chavez, Cesar",1,18,3,3,0
"Wallace, Nick",1,1,5,5,0
"Wallace, Nick",1,2,4,4,0
"Wallace, Nick",1,3,2,3,-1
"Wallace, Nick",1,4,4,4,0
"Wallace, Nick",1,5,4,4,0
"Wallace, Nick",1,6,3,4,-1
"Wallace, Nick",1,7,5,3,2
"Wallace, Nick",1,8,5,4,1
"Wallace, Nick",1,9,3,5,-2
"Wallace, Nick",1,10,3,4,-1
"Wallace, Nick",1,11,5,4,1
"Wallace, Nick",1,12,3,3,0
"Wallace, Nick",1,13,3,4,-1
"Wallace, Nick",1,14,6,5,1
"Wallace, Nick",1,15,4,4,0
"Wallace, Nick",1,16,7,4,3
"Wallace, Nick",1,17,4,5,-1
"Wallace, Nick",1,18,3,3,0
"Nash, Julian",1,1,5,5,0
"Nash, Julian",1,2,5,4,1
"Nash, Julian",1,3,3,3,0
"Nash, Julian",1,4,4,4,0
"Nash, Julian",1,5,4,4,0
"Nash, Julian",1,6,3,4,-1
"Nash, Julian",1,7,3,3,0
"Nash, Julian",1,8,4,4,0
"Nash, Julian",1,9,5,5,0
"Nash, Julian",1,10,3,4,-1
"Nash, Julian",1,11,3,4,-1
"Nash, Julian",1,12,3,3,0
