"player","round","hole","strokes","par","score"
"Tedeski, Leilani",1,1,5,5,0
"Tedeski, Leilani",1,2,5,4,1
"Tedeski, Leilani",1,3,4,3,1
"Tedeski, Leilani",1,4,3,4,-1
"Tedeski, Leilani",1,5,4,4,0
"Tedeski, Leilani",1,6,4,4,0
"Tedeski, Leilani",1,7,2,3,-1
"Tedeski, Leilani",1,8,3,4,-1
"Tedeski, Leilani",1,9,3,5,-2
"Tedeski, Leilani",1,10,4,4,0
"Tedeski, Leilani",1,11,3,4,-1
"Tedeski, Leilani",1,12,2,3,-1
"Tedeski, Leilani",1,13,4,4,0
"Tedeski, Leilani",1,14,3,5,-2
"Tedeski, Leilani",1,15,3,4,-1
"Tedeski, Leilani",1,16,4,4,0
"Tedeski, Leilani",1,17,4,5,-1
"Tedeski, Leilani",1,18,4,3,1
"Hewins, Jessica",1,1,4,5,-1
"Hewins, Jessica",1,2,4,4,0
"Hewins, Jessica",1,3,8,3,5
"Hewins, Jessica",1,4,4,4,0
"Hewins, Jessica",1,5,4,4,0
"Hewins, Jessica",1,6,4,4,0
"Hewins, Jessica",1,7,2,3,-1
"Hewins, Jessica",1,8,3,4,-1
"Hewins, Jessica",1,9,4,5,-1
"Hewins, Jessica",1,10,3,4,-1
"Hewins, Jessica",1,11,3,4,-1
"Hewins, Jessica",1,12,3,3,0
"Hewins, Jessica",1,13,3,4,-1
"Hewins, Jessica",1,14,4,5,-1
"Hewins, Jessica",1,15,4,4,0
"Hewins, Jessica",1,16,4,4,0
"Hewins, Jessica",1,17,4,5,-1
"Hewins, Jessica",1,18,2,3,-1
"Reid, Jo",1,1,4,5,-1
"Reid, Jo",1,2,5,4,1
"Reid, Jo",1,3,3,3,0
"Reid, Jo",1,4,4,4,0
"Reid, Jo",1,5,3,4,-1
"Reid, Jo",1,6,4,4,0
"Reid, Jo",1,7,2,3,-1
"Reid, Jo",1,8,4,4,0
"Reid, Jo",1,9,3,5,-2
"Reid, Jo",1,10,3,4,-1
"Reid, Jo",1,11,4,4,0
"Reid, Jo",1,12,3,3,0
"Reid, Jo",1,13,3,4,-1
"Reid, Jo",1,14,6,5,1
"Reid, Jo",1,15,4,4,0
"Reid, Jo",1,16,3,4,-1
"Reid, Jo",1,17,5,5,0
"Reid, Jo",1,18,2,3,-1
"Lipori, Dawn",1,1,5,5,0
"Lipori, Dawn",1,2,5,4,1
