player,round,hole,strokes,par,yds,score,time
"Clarke, Benjamin",1,1,5,4,235,1,12:30:00
"Clarke, Benjamin",1,2,3,4,215,-1,12:45:00
"Clarke, Benjamin",1,3,3,4,289,-1,13:00:00
"Clarke, Benjamin",1,4,5,5,301,0,13:15:00
"Clarke, Benjamin",1,5,3,3,100,0,09:00:00
"Clarke, Benjamin",1,6,5,5,246,0,09:15:00
"Clarke, Benjamin",1,7,4,4,200,0,09:30:00
"Clarke, Benjamin",1,8,3,3,135,0,09:45:00
"Clarke, Benjamin",1,9,4,4,267,0,10:00:00
"Clarke, Benjamin",1,10,4,4,225,0,10:15:00
"Clarke, Benjamin",1,11,4,5,259,-1,10:30:00
"Clarke, Benjamin",1,12,2,3,96,-1,10:45:00
"Clarke, Benjamin",1,13,4,4,162,0,11:00:00
"Clarke, Benjamin",1,14,5,5,250,0,11:15:00
"Clarke, Benjamin",1,15,4,4,230,0,11:30:00
"Clarke, Benjamin",1,16,4,4,144,0,11:45:00
"Clarke, Benjamin",1,17,4,4,235,0,12:00:00
"Clarke, Benjamin",1,18,3,3,95,0,12:15:00
"Garcia, Nicolas",1,1,4,4,235,0,11:00:00
"Garcia, Nicolas",1,2,4,4,215,0,11:15:00
"Garcia, Nicolas",1,3,3,4,289,-1,11:30:00
"Garcia, Nicolas",1,4,5,5,301,0,11:45:00
"Garcia, Nicolas",1,5,3,3,100,0,12:00:00
"Garcia, Nicolas",1,6,4,5,246,-1,12:15:00
"Garcia, Nicolas",1,7,4,4,200,0,12:30:00
"Garcia, Nicolas",1,8,3,3,135,0,12:45:00
"Garcia, Nicolas",1,9,5,4,267,1,13:00:00
"Garcia, Nicolas",1,10,4,4,225,0,13:15:00
"Garcia, Nicolas",1,11,4,5,259,-1,09:00:00
"Garcia, Nicolas",1,12,3,3,96,0,09:15:00
"Garcia, Nicolas",1,13,4,4,162,0,09:30:00
"Garcia, Nicolas",1,14,4,5,250,-1,09:45:00
"Garcia, Nicolas",1,15,4,4,230,0,10:00:00
"Garcia, Nicolas",1,16,4,4,144,0,10:15:00
"Garcia, Nicolas",1,17,3,4,235,-1,10:30:00
"Garcia, Nicolas",1,18,3,3,95,0,10:45:00
"Nash, Julian",1,1,5,4,235,1,11:55:00
"Nash, Julian",1,2,4,4,215,0,12:10:00
"Nash, Julian",1,3,4,4,289,0,12:25:00
"Nash, Julian",1,4,8,5,301,3,12:40:00
"Nash, Julian",1,5,2,3,100,-1,12:55:00
"Nash, Julian",1,6,4,5,246,-1,13:10:00
"Nash, Julian",1,7,4,4,200,0,13:25:00
"Nash, Julian",1,8,4,3,135,1,09:10:00
"Nash, Julian",1,9,4,4,267,0,09:25:00
"Nash, Julian",1,10,5,4,225,1,09:40:00
"Nash, Julian",1,11,4,5,259,-1,09:55:00
"Nash, Julian",1,12,3,3,96,0,10:10:00
"Nash, Julian",1,13,3,4,162,-1,10:25:00
"Nash, Julian",1,14,5,5,250,0,10:40:00
"Nash, Julian",1,15,5,4,230,1,10:55:00
"Nash, Julian",1,16,6,4,144,2,11:10:00
"Nash, Julian",1,17,3,4,235,-1,11:25:00
"Nash, Julian",1,18,3,3,95,0,11:40:00
"Antonio, Balestra",1,1,4,4,235,0,11:10:00
"Antonio, Balestra",1,2,4,4,215,0,11:25:00
"Antonio, Balestra",1,3,4,4,289,0,11:40:00
"Antonio, Balestra",1,4,5,5,301,0,11:55:00
"Antonio, Balestra",1,5,4,3,100,1,12:10:00
"Antonio, Balestra",1,6,5,5,246,0,12:25:00
"Antonio, Balestra",1,7,3,4,200,-1,12:40:00
"Antonio, Balestra",1,8,3,3,135,0,12:55:00
"Antonio, Balestra",1,9,5,4,267,1,13:10:00
"Antonio, Balestra",1,10,3,4,225,-1,13:25:00
"Antonio, Balestra",1,11,5,5,259,0,09:10:00
"Antonio, Balestra",1,12,3,3,96,0,09:25:00
"Antonio, Balestra",1,13,4,4,162,0,09:40:00
"Antonio, Balestra",1,14,6,5,250,1,09:55:00
"Antonio, Balestra",1,15,2,4,230,-2,10:10:00
"Antonio, Balestra",1,16,3,4,144,-1,10:25:00
"Antonio, Balestra",1,17,3,4,235,-1,10:40:00
"Antonio, Balestra",1,18,1,3,95,-2,10:55:00
"Godfrey, Jordan",1,1,5,4,235,1,13:00:00
"Godfrey, Jordan",1,2,4,4,215,0,13:15:00
"Godfrey, Jordan",1,3,2,4,289,-2,09:00:00
"Godfrey, Jordan",1,4,5,5,301,0,09:15:00
"Godfrey, Jordan",1,5,3,3,100,0,09:30:00
"Godfrey, Jordan",1,6,4,5,246,-1,09:45:00
"Godfrey, Jordan",1,7,4,4,200,0,10:00:00
"Godfrey, Jordan",1,8,4,3,135,1,10:15:00
"Godfrey, Jordan",1,9,5,4,267,1,10:30:00
"Godfrey, Jordan",1,10,4,4,225,0,10:45:00
"Godfrey, Jordan",1,11,4,5,259,-1,11:00:00
"Godfrey, Jordan",1,12,5,3,96,2,11:15:00
"Godfrey, Jordan",1,13,4,4,162,0,11:30:00
"Godfrey, Jordan",1,14,4,5,250,-1,11:45:00
"Godfrey, Jordan",1,15,3,4,230,-1,12:00:00
"Godfrey, Jordan",1,16,5,4,144,1,12:15:00
"Godfrey, Jordan",1,17,3,4,235,-1,12:30:00
"Godfrey, Jordan",1,18,2,3,95,-1,12:45:00
"Shuey, Nathan",1,1,4,4,235,0,10:40:00
"Shuey, Nathan",1,2,3,4,215,-1,10:55:00
"Shuey, Nathan",1,3,2,4,289,-2,11:10:00
"Shuey, Nathan",1,4,6,5,301,1,11:25:00
"Shuey, Nathan",1,5,3,3,100,0,11:40:00
"Shuey, Nathan",1,6,5,5,246,0,11:55:00
"Shuey, Nathan",1,7,4,4,200,0,12:10:00
"Shuey, Nathan",1,8,3,3,135,0,12:25:00
"Shuey, Nathan",1,9,5,4,267,1,12:40:00
"Shuey, Nathan",1,10,5,4,225,1,12:55:00
"Shuey, Nathan",1,11,6,5,259,1,13:10:00
"Shuey, Nathan",1,12,3,3,96,0,13:25:00
"Shuey, Nathan",1,13,4,4,162,0,09:10:00
"Shuey, Nathan",1,14,5,5,250,0,09:25:00
"Shuey, Nathan",1,15,3,4,230,-1,09:40:00
"Shuey, Nathan",1,16,3,4,144,-1,09:55:00
"Shuey, Nathan",1,17,5,4,235,1,10:10:00
"Shuey, Nathan",1,18,4,3,95,1,10:25:00
"Chavez, Cesar",1,1,4,4,235,0,11:40:00
"Chavez, Cesar",1,2,4,4,215,0,11:55:00
"Chavez, Cesar",1,3,3,4,289,-1,12:10:00
"Chavez, Cesar",1,4,7,5,301,2,12:25:00
"Chavez, Cesar",1,5,2,3,100,-1,12:40:00
"Chavez, Cesar",1,6,5,5,246,0,12:55:00
"Chavez, Cesar",1,7,5,4,200,1,13:10:00
"Chavez, Cesar",1,8,4,3,135,1,13:25:00
"Chavez, Cesar",1,9,4,4,267,0,09:10:00
"Chavez, Cesar",1,10,4,4,225,0,09:25:00
"Chavez, Cesar",1,11,5,5,259,0,09:40:00
"Chavez, Cesar",1,12,2,3,96,-1,09:55:00
"Chavez, Cesar",1,13,3,4,162,-1,10:10:00
"Chavez, Cesar",1,14,4,5,250,-1,10:25:00
"Chavez, Cesar",1,15,4,4,230,0,10:40:00
"Chavez, Cesar",1,16,4,4,144,0,10:55:00
"Chavez, Cesar",1,17,4,4,235,0,11:10:00
"Chavez, Cesar",1,18,2,3,95,-1,11:25:00
"Morgan, Kareem",1,1,5,4,235,1,09:15:00
"Morgan, Kareem",1,2,3,4,215,-1,09:30:00
"Morgan, Kareem",1,3,3,4,289,-1,09:45:00
"Morgan, Kareem",1,4,5,5,301,0,10:00:00
"Morgan, Kareem",1,5,3,3,100,0,10:15:00
"Morgan, Kareem",1,6,4,5,246,-1,10:30:00
"Morgan, Kareem",1,7,4,4,200,0,10:45:00
"Morgan, Kareem",1,8,4,3,135,1,11:00:00
"Morgan, Kareem",1,9,5,4,267,1,11:15:00
"Morgan, Kareem",1,10,5,4,225,1,11:30:00
"Morgan, Kareem",1,11,5,5,259,0,11:45:00
"Morgan, Kareem",1,12,3,3,96,0,12:00:00
"Morgan, Kareem",1,13,3,4,162,-1,12:15:00
"Morgan, Kareem",1,14,4,5,250,-1,12:30:00
"Morgan, Kareem",1,15,5,4,230,1,12:45:00
"Morgan, Kareem",1,16,3,4,144,-1,13:00:00
"Morgan, Kareem",1,17,5,4,235,1,13:15:00
"Morgan, Kareem",1,18,3,3,95,0,09:00:00
"Mancino, David",1,1,5,4,235,1,10:10:00
"Mancino, David",1,2,4,4,215,0,10:25:00
"Mancino, David",1,3,2,4,289,-2,10:40:00
"Mancino, David",1,4,5,5,301,0,10:55:00
"Mancino, David",1,5,2,3,100,-1,11:10:00
"Mancino, David",1,6,6,5,246,1,11:25:00
"Mancino, David",1,7,4,4,200,0,11:40:00
"Mancino, David",1,8,4,3,135,1,11:55:00
"Mancino, David",1,9,4,4,267,0,12:10:00
"Mancino, David",1,10,3,4,225,-1,12:25:00
"Mancino, David",1,11,4,5,259,-1,12:40:00
"Mancino, David",1,12,3,3,96,0,12:55:00
"Mancino, David",1,13,3,4,162,-1,13:10:00
"Mancino, David",1,14,3,5,250,-2,13:25:00
"Mancino, David",1,15,5,4,230,1,09:10:00
"Mancino, David",1,16,4,4,144,0,09:25:00
"Mancino, David",1,17,4,4,235,0,09:40:00
"Mancino, David",1,18,3,3,95,0,09:55:00
"Khatib, Sharif",1,1,5,4,235,1,10:30:00
"Khatib, Sharif",1,2,4,4,215,0,10:45:00
"Khatib, Sharif",1,3,3,4,289,-1,11:00:00
"Khatib, Sharif",1,4,6,5,301,1,11:15:00
"Khatib, Sharif",1,5,3,3,100,0,11:30:00
"Khatib, Sharif",1,6,4,5,246,-1,11:45:00
"Khatib, Sharif",1,7,5,4,200,1,12:00:00
"Khatib, Sharif",1,8,4,3,135,1,12:15:00
"Khatib, Sharif",1,9,5,4,267,1,12:30:00
"Khatib, Sharif",1,10,5,4,225,1,12:45:00
"Khatib, Sharif",1,11,4,5,259,-1,13:00:00
"Khatib, Sharif",1,12,3,3,96,0,13:15:00
"Khatib, Sharif",1,13,3,4,162,-1,09:00:00
"Khatib, Sharif",1,14,5,5,250,0,09:15:00
"Khatib, Sharif",1,15,5,4,230,1,09:30:00
"Khatib, Sharif",1,16,4,4,144,0,09:45:00
"Khatib, Sharif",1,17,4,4,235,0,10:00:00
"Khatib, Sharif",1,18,3,3,95,0,10:15:00
"Cohmanschi, Robert",1,1,4,4,235,0,11:40:00
"Cohmanschi, Robert",1,2,4,4,215,0,11:55:00
"Cohmanschi, Robert",1,3,3,4,289,-1,12:10:00
"Cohmanschi, Robert",1,4,4,5,301,-1,12:25:00
"Cohmanschi, Robert",1,5,4,3,100,1,12:40:00
"Cohmanschi, Robert",1,6,4,5,246,-1,12:55:00
"Cohmanschi, Robert",1,7,5,4,200,1,13:10:00
"Cohmanschi, Robert",1,8,4,3,135,1,13:25:00
"Cohmanschi, Robert",1,9,5,4,267,1,09:10:00
"Cohmanschi, Robert",1,10,4,4,225,0,09:25:00
"Cohmanschi, Robert",1,11,5,5,259,0,09:40:00
"Cohmanschi, Robert",1,12,4,3,96,1,09:55:00
"Cohmanschi, Robert",1,13,3,4,162,-1,10:10:00
"Cohmanschi, Robert",1,14,4,5,250,-1,10:25:00
"Cohmanschi, Robert",1,15,4,4,230,0,10:40:00
"Cohmanschi, Robert",1,16,3,4,144,-1,10:55:00
"Cohmanschi, Robert",1,17,4,4,235,0,11:10:00
"Cohmanschi, Robert",1,18,2,3,95,-1,11:25:00
"Laudani, Nicolas",1,1,5,4,235,1,09:45:00
"Laudani, Nicolas",1,2,3,4,215,-1,10:00:00
"Laudani, Nicolas",1,3,4,4,289,0,10:15:00
"Laudani, Nicolas",1,4,5,5,301,0,10:30:00
"Laudani, Nicolas",1,5,3,3,100,0,10:45:00
"Laudani, Nicolas",1,6,5,5,246,0,11:00:00
"Laudani, Nicolas",1,7,4,4,200,0,11:15:00
"Laudani, Nicolas",1,8,4,3,135,1,11:30:00
"Laudani, Nicolas",1,9,5,4,267,1,11:45:00
"Laudani, Nicolas",1,10,5,4,225,1,12:00:00
"Laudani, Nicolas",1,11,5,5,259,0,12:15:00
"Laudani, Nicolas",1,12,3,3,96,0,12:30:00
"Laudani, Nicolas",1,13,4,4,162,0,12:45:00
"Laudani, Nicolas",1,14,4,5,250,-1,13:00:00
"Laudani, Nicolas",1,15,4,4,230,0,13:15:00
"Laudani, Nicolas",1,16,3,4,144,-1,09:00:00
"Laudani, Nicolas",1,17,5,4,235,1,09:15:00
"Laudani, Nicolas",1,18,3,3,95,0,09:30:00
"Reyes, Angel",1,1,3,4,235,-1,09:30:00
"Reyes, Angel",1,2,4,4,215,0,09:45:00
"Reyes, Angel",1,3,2,4,289,-2,10:00:00
"Reyes, Angel",1,4,6,5,301,1,10:15:00
"Reyes, Angel",1,5,3,3,100,0,10:30:00
"Reyes, Angel",1,6,6,5,246,1,10:45:00
"Reyes, Angel",1,7,6,4,200,2,11:00:00
"Reyes, Angel",1,8,4,3,135,1,11:15:00
"Reyes, Angel",1,9,4,4,267,0,11:30:00
"Reyes, Angel",1,10,5,4,225,1,11:45:00
"Reyes, Angel",1,11,4,5,259,-1,12:00:00
"Reyes, Angel",1,12,3,3,96,0,12:15:00
"Reyes, Angel",1,13,5,4,162,1,12:30:00
"Reyes, Angel",1,14,4,5,250,-1,12:45:00
"Reyes, Angel",1,15,4,4,230,0,13:00:00
"Reyes, Angel",1,16,3,4,144,-1,13:15:00
"Reyes, Angel",1,17,5,4,235,1,09:00:00
"Reyes, Angel",1,18,3,3,95,0,09:15:00
"Arai, Susumu",1,1,5,4,235,1,13:00:00
"Arai, Susumu",1,2,5,4,215,1,13:15:00
"Arai, Susumu",1,3,3,4,289,-1,09:00:00
"Arai, Susumu",1,4,6,5,301,1,09:15:00
"Arai, Susumu",1,5,2,3,100,-1,09:30:00
"Arai, Susumu",1,6,6,5,246,1,09:45:00
"Arai, Susumu",1,7,4,4,200,0,10:00:00
"Arai, Susumu",1,8,4,3,135,1,10:15:00
"Arai, Susumu",1,9,5,4,267,1,10:30:00
"Arai, Susumu",1,10,5,4,225,1,10:45:00
"Arai, Susumu",1,11,4,5,259,-1,11:00:00
"Arai, Susumu",1,12,3,3,96,0,11:15:00
"Arai, Susumu",1,13,4,4,162,0,11:30:00
"Arai, Susumu",1,14,4,5,250,-1,11:45:00
"Arai, Susumu",1,15,4,4,230,0,12:00:00
"Arai, Susumu",1,16,4,4,144,0,12:15:00
"Arai, Susumu",1,17,4,4,235,0,12:30:00
"Arai, Susumu",1,18,3,3,95,0,12:45:00
"Perrone, Matias",1,1,5,4,235,1,10:55:00
"Perrone, Matias",1,2,4,4,215,0,11:10:00
"Perrone, Matias",1,3,4,4,289,0,11:25:00
"Perrone, Matias",1,4,6,5,301,1,11:40:00
"Perrone, Matias",1,5,3,3,100,0,11:55:00
"Perrone, Matias",1,6,5,5,246,0,12:10:00
"Perrone, Matias",1,7,5,4,200,1,12:25:00
"Perrone, Matias",1,8,3,3,135,0,12:40:00
"Perrone, Matias",1,9,5,4,267,1,12:55:00
"Perrone, Matias",1,10,4,4,225,0,13:10:00
"Perrone, Matias",1,11,5,5,259,0,13:25:00
"Perrone, Matias",1,12,3,3,96,0,09:10:00
"Perrone, Matias",1,13,3,4,162,-1,09:25:00
"Perrone, Matias",1,14,4,5,250,-1,09:40:00
"Perrone, Matias",1,15,4,4,230,0,09:55:00
